date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-12-21,BBCA,4,1.5833333333333333,6.333333333333333,4,0,0
2023-12-22,BBCA,3,-0.8333333333333334,-2.5,2,0,1
2023-12-27,BBCA,1,-3.0,-3.0,0,0,1
2023-12-29,BBCA,2,2.0,4.0,2,0,0
2024-01-03,BBCA,2,-0.25,-0.5,1,0,1
2024-01-05,BBCA,4,0.4375,1.75,2,1,1
2024-01-12,BBCA,2,1.25,2.5,2,0,0
2024-01-13,BBCA,1,2.0,2.0,1,0,0
2024-01-15,BBCA,1,-2.5,-2.5,0,0,1
2024-01-17,BBCA,3,-0.5555555555555555,-1.6666666666666665,2,0,1
2024-01-19,BBCA,1,2.5,2.5,1,0,0
2024-01-21,BBCA,1,1.25,1.25,1,0,0
2024-01-22,BBCA,1,3.0,3.0,1,0,0
2024-01-23,BBCA,2,1.5,3.0,2,0,0
2024-01-24,BBCA,3,-1.0,-3.0,1,0,2
2024-01-25,BBCA,5,2.0,10.0,3,2,0
2024-01-26,BBCA,2,1.5,3.0,1,1,0
2024-01-29,BBCA,3,-0.8333333333333334,-2.5,2,0,1
2024-01-30,BBCA,1,0.25,0.25,1,0,0
2024-02-01,BBCA,3,-1.1666666666666667,-3.5,1,0,2
2024-02-02,BBCA,1,2.0,2.0,1,0,0
2024-02-05,BBCA,2,1.5,3.0,1,0,1
2024-02-06,BBCA,1,1.3333333333333333,1.3333333333333333,1,0,0
2024-02-08,BBCA,1,-0.5,-0.5,0,0,1
2024-02-09,BBCA,1,2.0,2.0,1,0,0
2024-02-11,BBCA,1,3.0,3.0,1,0,0
2024-02-12,BBCA,1,0.3333333333333333,0.3333333333333333,1,0,0
2024-02-13,BBCA,2,2.333333333333333,4.666666666666666,2,0,0
2024-02-15,BBCA,1,3.0,3.0,1,0,0
2024-02-19,BBCA,3,-0.7777777777777778,-2.3333333333333335,1,1,1
2024-02-20,BBCA,1,2.0,2.0,1,0,0
2024-02-21,BBCA,3,-0.44444444444444436,-1.333333333333333,2,0,1
2024-02-22,BBCA,2,1.75,3.5,1,0,1
2024-02-23,BBCA,1,1.6666666666666667,1.6666666666666667,1,0,0
2024-02-26,BBCA,1,1.5,1.5,1,0,0
2024-02-27,BBCA,2,2.0,4.0,2,0,0
2024-02-28,BBCA,1,3.0,3.0,1,0,0
2024-02-29,BBCA,1,1.0,1.0,1,0,0
2024-03-01,BBCA,1,3.0,3.0,1,0,0
2024-03-04,BBCA,2,-0.75,-1.5,1,0,1
2024-03-05,BBCA,2,0.0,0.0,0,2,0
2024-03-06,BBCA,2,-0.75,-1.5,0,1,1
2024-03-08,BBCA,1,1.0,1.0,1,0,0
2024-03-09,BBCA,1,3.0,3.0,1,0,0
2024-03-13,BBCA,2,1.0,2.0,1,0,1
2024-03-14,BBCA,6,0.75,4.5,3,2,1
2024-03-18,BBCA,3,1.25,3.75,3,0,0
2024-03-19,BBCA,3,-0.3333333333333333,-1.0,2,0,1
2024-03-21,BBCA,3,1.3333333333333333,4.0,2,0,1
2024-03-22,BBCA,5,0.65,3.25,3,1,1
2024-03-24,BBCA,1,0.75,0.75,1,0,0
2024-03-25,BBCA,4,0.35416666666666663,1.4166666666666665,2,0,2
2024-03-26,BBCA,2,1.1666666666666667,2.3333333333333335,2,0,0
2024-03-27,BBCA,3,0.22222222222222218,0.6666666666666665,2,0,1
2024-04-01,BBCA,2,1.0833333333333333,2.1666666666666665,1,0,1
2024-04-02,BBCA,2,1.0,2.0,1,1,0
2024-04-03,BBCA,2,1.6666666666666667,3.3333333333333335,2,0,0
2024-04-04,BBCA,5,0.6,3.0,3,1,1
2024-04-05,BBCA,8,1.5,12.0,7,1,0
2024-04-06,BBCA,2,1.75,3.5,2,0,0
2024-04-07,BBCA,1,3.0,3.0,1,0,0
2024-04-11,BBCA,1,-1.0,-1.0,0,0,1
2024-04-16,BBCA,3,-0.888888888888889,-2.666666666666667,2,0,1
2024-04-17,BBCA,1,-4.0,-4.0,0,0,1
2024-04-18,BBCA,4,1.625,6.5,3,0,1
2024-04-19,BBCA,5,0.36666666666666664,1.8333333333333333,2,2,1
2024-04-22,BBCA,7,0.9261904761904762,6.483333333333333,5,2,0
2024-04-23,BBCA,7,0.6571428571428571,4.6,4,2,1
2024-04-24,BBCA,4,0.125,0.5,2,1,1
2024-04-25,BBCA,6,0.9888888888888889,5.933333333333334,4,1,1
2024-04-26,BBCA,2,0.6666666666666667,1.3333333333333335,1,0,1
2024-04-27,BBCA,1,0.0,0.0,0,1,0
2024-04-29,BBCA,2,-0.5,-1.0,1,0,1
2024-04-30,BBCA,3,0.05555555555555558,0.16666666666666674,1,0,2
2024-05-01,BBCA,2,0.5,1.0,1,1,0
2024-05-03,BBCA,2,-2.3333333333333335,-4.666666666666667,0,0,2
2024-05-04,BBCA,2,2.125,4.25,2,0,0
2024-05-05,BBCA,1,-2.5,-2.5,0,0,1
2024-05-06,BBCA,1,0.0,0.0,0,1,0
2024-05-08,BBCA,1,1.4,1.4,1,0,0
2024-05-10,BBCA,3,1.8333333333333333,5.5,3,0,0
2024-05-12,BBCA,1,3.0,3.0,1,0,0
2024-05-13,BBCA,1,-0.25,-0.25,0,0,1
2024-05-14,BBCA,4,-0.5666666666666667,-2.2666666666666666,1,1,2
2024-05-15,BBCA,2,3.0,6.0,2,0,0
2024-05-16,BBCA,1,-1.6,-1.6,0,0,1
2024-05-17,BBCA,7,1.0476190476190477,7.333333333333333,5,2,0
2024-05-18,BBCA,1,0.0,0.0,0,1,0
2024-05-20,BBCA,2,0.75,1.5,1,0,1
2024-05-21,BBCA,3,3.016666666666667,9.05,3,0,0
2024-05-22,BBCA,1,3.0,3.0,1,0,0
2024-05-23,BBCA,1,2.5,2.5,1,0,0
2024-05-24,BBCA,1,2.0,2.0,1,0,0
2024-05-27,BBCA,3,2.8333333333333335,8.5,3,0,0
2024-05-29,BBCA,2,-0.5,-1.0,1,0,1
2024-05-30,BBCA,4,-1.5416666666666665,-6.166666666666666,0,1,3
2024-06-03,BBCA,3,1.472222222222222,4.416666666666666,2,0,1
2024-06-04,BBCA,3,-1.5,-4.5,1,1,1
2024-06-05,BBCA,8,1.9166666666666667,15.333333333333334,7,0,1
2024-06-06,BBCA,4,0.6666666666666667,2.666666666666667,3,0,1
2024-06-07,BBCA,1,0.3333333333333333,0.3333333333333333,1,0,0
2024-06-08,BBCA,1,1.0,1.0,1,0,0
2024-06-10,BBCA,3,1.6666666666666667,5.0,3,0,0
2024-06-11,BBCA,2,-0.75,-1.5,1,0,1
2024-06-12,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-06-13,BBCA,1,-0.25,-0.25,0,0,1
2024-06-14,BBCA,2,1.0,2.0,1,1,0
2024-06-15,BBCA,2,-1.8333333333333333,-3.6666666666666665,0,0,2
2024-06-18,BBCA,2,2.5,5.0,2,0,0
2024-06-19,BBCA,1,-0.5,-0.5,0,0,1
2024-06-20,BBCA,4,2.25,9.0,4,0,0
2024-06-21,BBCA,1,4.0,4.0,1,0,0
2024-06-23,BBCA,2,1.2,2.4,2,0,0
2024-06-24,BBCA,4,1.6041666666666667,6.416666666666667,3,1,0
2024-06-25,BBCA,3,1.3611111111111114,4.083333333333334,2,0,1
2024-06-26,BBCA,7,-0.9523809523809524,-6.666666666666667,4,0,3
2024-06-27,BBCA,1,1.0,1.0,1,0,0
2024-06-28,BBCA,4,0.125,0.5,2,0,2
2024-07-01,BBCA,3,3.8333333333333335,11.5,3,0,0
2024-07-02,BBCA,1,3.5,3.5,1,0,0
2024-07-03,BBCA,1,1.0,1.0,1,0,0
2024-07-04,BBCA,4,-1.25,-5.0,0,3,1
2024-07-05,BBCA,5,0.033333333333333305,0.16666666666666652,1,2,2
2024-07-07,BBCA,1,-0.5,-0.5,0,0,1
2024-07-08,BBCA,1,1.0,1.0,1,0,0
2024-07-12,BBCA,2,1.3333333333333335,2.666666666666667,2,0,0
2024-07-15,BBCA,3,2.444444444444444,7.333333333333333,3,0,0
2024-07-16,BBCA,2,2.25,4.5,2,0,0
2024-07-17,BBCA,3,0.6666666666666666,2.0,1,1,1
2024-07-18,BBCA,2,4.0,8.0,2,0,0
2024-07-21,BBCA,1,2.5,2.5,1,0,0
2024-07-22,BBCA,4,0.4125,1.65,2,1,1
2024-07-23,BBCA,3,1.0,3.0,2,0,1
2024-07-24,BBCA,5,2.066666666666667,10.333333333333334,3,1,1
